long,lat,id,nombre_ofi,telefono,email,web,horario_de,calle_nombre,calle_altura,calle_cruce,sector,manzana,piso,casa,lado,pasillo,observacio,barrio,comuna,codigo_postal,codigo_postal_argentino,tipo_de_or,actividad,nom_mapa,funcion_de_la_organizacion,actividades
-58.378478165307,-34.6055638933487,868,Oficina central Subsecretaría de Hábitat e Inclusión,,,,Lunes a viernes de 9:30 a 16hs.,roque saenz peña,832,,,,,,,,Edificio Volta,SAN NICOLAS,1,1035,C1035AAQ,Estatal,,Of. Central SSHI,,
-58.4428915778772,-34.6653434874475,867,Portal Inclusivo de la Subsecretaría de Hábitat e Inclusión (SSHI),,,,Lunes a viernes de 9 a 17hs.,CORRALES,3400,,,,,,,,Altura Mariano Acosta,VILLA SOLDATI,8,1437,C1437GNJ,Estatal,PORTAL INCLUSIVO,Portal Inclusivo (SSHI),,
-58.4566185161527,-34.6546581102935,866,Portal Inclusivo de la Subsecretaría de Hábitat e Inclusión (SSHI),,,,Lunes a viernes de 9 a 17hs.,Mariano Acosta,2400,,,,,,,,Barrio Ramón Carrillo,VILLA SOLDATI,8,1407,C1407KCV,Estatal,PORTAL INCLUSIVO,Portal Inclusivo (SSHI),,
-58.4366890096364,-34.6467990810514,865,Portal Inclusivo de la Subsecretaría de Hábitat e Inclusión (SSHI),,,,Lunes a viernes de 9 a 17hs.,Riestra,,Agustín de Vedia,,,,,,,Barrio Juan XXIII,PARQUE CHACABUCO,7,,,Estatal,PORTAL INCLUSIVO,Portal Inclusivo (SSHI),,
-58.4330156037888,-34.6505693348718,864,Portal Inclusivo de la Subsecretaría de Hábitat e Inclusión (SSHI),,,,Lunes a viernes de 9 a 17hs.,Perito Moreno,,Erezcano,,,,,,,Frente a Madre del Pueblo,FLORES,7,,,Estatal,PORTAL INCLUSIVO,Portal Inclusivo (SSHI),,
-58.4549921874748,-34.6641238098824,863,Portal Inclusivo de la Subsecretaría de Hábitat e Inclusión (SSHI),,,,Lunes a viernes de 9 a 17hs.,,,,,,,,,,,VILLA SOLDATI,8,,,Estatal,PORTAL INCLUSIVO,Portal Inclusivo Barrio Piletones,"Los Portales Inclusivos son uno de los sellos distintivos de la política innovadora de la Subsecretaría de Hábitat e Inclusión. Son oficinas del Gobierno emplazadas en los territorios donde día a día los equipos de trabajo brindan un espacio de escucha y un lugar de consulta sobre las oportunidades de programas y políticas que ofrece la ciudad.

La presencia territorial permanente del Gobierno de la Ciudad en cada uno de los barrios impulsa la participación directa de la comunidad, independiente de su afiliación política. El objetivo principal de la presencia territorial es la construcción de vínculos de confianza entre el Estado y los ciudadanos, así como el fortalecimiento de los vínculos y redes entre quienes trabajan en y desde los territorios. La participación activa y directa de la comunidad, el fortalecimiento de los vínculos con el gobierno y el afianzamiento de las redes interbarriales, permiten un mejor diseño y una mejor ejecución de las políticas y programas públicos, lo que fortalece los procesos de transformación urbana y social.",
-58.4631255801203,-34.6716302851759,862,Comedor Niño Jesús,,,,,,,,,20,,,,,,VILLA LUGANO,8,,,,COMEDOR,Comedor Niño Jesús,,
-58.4626236776857,-34.6719529986928,861,Comedor Los Leones Agrandados,,,,,,,,,19,,,,,,VILLA LUGANO,8,,,No Estatal,COMEDOR,Comedor Los Leones Agrandados,,
-58.4638948390273,-34.6743688311404,860,Cancha San Juan Bautista,,,,,,,,,30,,,,,,VILLA LUGANO,8,,,No Estatal,CANCHA,Cancha San Juan Bautista,,
-58.4629673766545,-34.673129367556,859,Cancha de todos,,,,,,,,,30,,,,,,VILLA LUGANO,8,,,No Estatal,CANCHA,Cancha de todos,,
