feature,tag
4wd_only,
abandoned,
abutters,
access,designated
access,no
access,private
addr,
addr:city,
addr:conscriptionnumber,
addr:country,
addr:district,
addr:flats,
addr:full,
addr:hamlet,
addr:housename,
addr:housenumber,
addr:inclusion,
addr:interpolation,
addr:place,
addr:postcode,
addr:province,
addr:state,
addr:street,
addr:subdistrict,
addr:suburb,
admin_level,
aeroway,aerodrome
aeroway,apron
aeroway,gate
aeroway,hangar
aeroway,helipad
aeroway,heliport
aeroway,navigationaid
aeroway,runway
aeroway,spaceport
aeroway,taxiway
aeroway,terminal
aeroway,windsock
agricultural,
alt_name,
amenity,animal_boarding
amenity,animal_breeding
amenity,animal_shelter
amenity,arts_centre
amenity,atm
amenity,baby_hatch
amenity,baking_oven
amenity,bank
amenity,bar
amenity,bbq
amenity,bench
amenity,bicycle_parking
amenity,bicycle_rental
amenity,bicycle_repair_station
amenity,biergarten
amenity,boat_rental
amenity,boat_sharing
amenity,brothel
amenity,bureau_de_change
amenity,bus_station
amenity,cafe
amenity,car_rental
amenity,car_sharing
amenity,car_wash
amenity,casino
amenity,charging_station
amenity,childcare
amenity,cinema
amenity,clinic
amenity,clock
amenity,college
amenity,community_centre
amenity,conference_centre
amenity,courthouse
amenity,crematorium
amenity,dentist
amenity,dive_centre
amenity,doctors
amenity,dog_toilet
amenity,drinking_water
amenity,driving_school
amenity,embassy
amenity,events_venue
amenity,fast_food
amenity,ferry_terminal
amenity,fire_station
amenity,food_court
amenity,fountain
amenity,fuel
amenity,funeral_hall
amenity,gambling
amenity,give_box
amenity,grave_yard
amenity,grit_bin
amenity,gym
amenity,hospital
amenity,hunting_stand
amenity,ice_cream
amenity,internet_cafe
amenity,kindergarten
amenity,kitchen
amenity,kneipp_water_cure
amenity,language_school
amenity,library
amenity,lounger
amenity,love_hotel
amenity,marketplace
amenity,monastery
amenity,motorcycle_parking
amenity,music_school
amenity,nightclub
amenity,nursing_home
amenity,parking
amenity,parking_entrance
amenity,parking_space
amenity,pharmacy
amenity,photo_booth
amenity,place_of_mourning
amenity,place_of_worship
amenity,planetarium
amenity,police
amenity,post_box
amenity,post_depot
amenity,post_office
amenity,prison
amenity,pub
amenity,public_bath
amenity,public_bookcase
amenity,public_building
amenity,ranger_station
amenity,recycling
amenity,refugee_site
amenity,restaurant
amenity,sanitary_dump_station
amenity,school
amenity,shelter
amenity,shower
amenity,social_centre
amenity,social_facility
amenity,stripclub
amenity,studio
amenity,swingerclub
amenity,taxi
amenity,telephone
amenity,theatre
amenity,toilets
amenity,townhall
amenity,toy_library
amenity,university
amenity,vehicle_inspection
amenity,vending_machine
amenity,veterinary
amenity,waste_basket
amenity,waste_disposal
amenity,waste_transfer_station
amenity,water_point
amenity,watering_place
area,
atv,
backward,
barrier,block
barrier,bollard
barrier,border_control
barrier,bump_gate
barrier,bus_trap
barrier,cable_barrier
barrier,cattle_grid
barrier,chain
barrier,city_wall
barrier,cycle_barrier
barrier,debris
barrier,ditch
barrier,entrance
barrier,fence
barrier,full-height_turnstile
barrier,gate
barrier,guard_rail
barrier,hampshire_gate
barrier,handrail
barrier,hedge
barrier,height_restrictor
barrier,horse_stile
barrier,jersey_barrier
barrier,kerb
barrier,kissing_gate
barrier,lift_gate
barrier,log
barrier,motorcycle_barrier
barrier,retaining_wall
barrier,rope
barrier,sally_port
barrier,spikes
barrier,stile
barrier,sump_buster
barrier,swing_gate
barrier,toll_booth
barrier,turnstile
barrier,wall
barrier,yes
basin,
bdouble,
bicycle,dismount
bicycle,no
bicycle_road,
biergarten,
boat,
border_type,
boundary,aboriginal_lands
boundary,administrative
boundary,hazard
boundary,maritime
boundary,marker
boundary,national_park
boundary,political
boundary,postal_code
boundary,protected_area
boundary,special_economic_zone
bridge,yes
building,apartments
building,bakehouse
building,barn
building,bridge
building,bungalow
building,bunker
building,cabin
building,carport
building,cathedral
building,chapel
building,church
building,civic
building,college
building,commercial
building,conservatory
building,construction
building,container
building,cowshed
building,detached
building,digester
building,dormitory
building,entrance
building,farm
building,farm_auxiliary
building,fire_station
building,garage
building,garages
building,gatehouse
building,ger
building,government
building,grandstand
building,greenhouse
building,hangar
building,hospital
building,hotel
building,house
building,houseboat
building,hut
building,industrial
building,kindergarten
building,kiosk
building,library&action=edit&redlink=1
building,marquee
building,military
building,monastery
building,mosque
building,office
building,parking
building,pavilion
building,presbytery
building,public
building,religious
building,residential
building,retail
building,riding_hall
building,roof
building,ruins
building,school
building,semidetached_house
building,service
building,shed
building,shrine
building,slurry_tank
building,sports_hall
building,stable
building,stadium
building,static_caravan
building,sty
building,supermarket
building,synagogue
building,temple
building,terrace
building,toilets
building,train_station
building,transformer_tower
building,transportation
building,tree_house
building,university
building,warehouse
building,water_tower
building:fireproof,
building:flats,
building:levels,
building:min_level,
building:soft_storey,
bus_bay,
busway,lane
charge,
construction,
covered,
craft,agricultural_engines
craft,atelier
craft,bakery
craft,basket_maker
craft,beekeeper
craft,blacksmith
craft,boatbuilder
craft,bookbinder
craft,brewery
craft,builder
craft,cabinet_maker
craft,car_painter
craft,carpenter
craft,carpet_layer
craft,caterer
craft,chimney_sweeper
craft,clockmaker
craft,confectionery
craft,cooper
craft,dental_technician
craft,distillery
craft,door_construction
craft,dressmaker
craft,electrician
craft,electronics_repair
craft,embroiderer
craft,engraver
craft,floorer
craft,gardener
craft,glaziery
craft,goldsmith
craft,grinding_mill
craft,handicraft
craft,hvac
craft,insulation
craft,interior_work
craft,jeweller
craft,joiner
craft,key_cutter
craft,locksmith
craft,metal_construction
craft,mint
craft,musical_instrument
craft,oil_mill
craft,optician
craft,organ_builder
craft,painter
craft,parquet_layer
craft,paver
craft,photographer
craft,photographic_laboratory
craft,piano_tuner
craft,plasterer
craft,plumber
craft,pottery
craft,printer
craft,printmaker
craft,rigger
craft,roofer
craft,saddler
craft,sailmaker
craft,sawmill
craft,scaffolder
craft,sculptor
craft,shoemaker
craft,signmaker
craft,stand_builder
craft,stonemason
craft,stove_fitter
craft,sun_protection
craft,tailor
craft,tiler
craft,tinsmith
craft,toolmaker
craft,turner
craft,upholsterer
craft,watchmaker
craft,water_well_drilling
craft,window_construction
craft,winery
crossing,
crossing:island,
cuisine,
cutting,yes
cycleway,lane
cycleway,opposite
cycleway,opposite_lane
cycleway,opposite_share_busway
cycleway,opposite_track
cycleway,share_busway
cycleway,shared_lane
cycleway,track
denomination,
destination,
diet,
direction,anticlockwise
direction,clockwise
dispensing,
disused,
disused:shop,
drink,
drive_in,
drive_through,
ele,
electric_bicycle,
electrified,
embankment,
embedded_rails,
emergency,ambulance_station
emergency,assembly_point
emergency,defibrillator
emergency,drinking_water
emergency,dry_riser_inlet
emergency,emergency_ward_entrance
emergency,fire_alarm_box
emergency,fire_extinguisher
emergency,fire_hose
emergency,fire_hydrant
emergency,landing_site
emergency,life_ring
emergency,lifeguard
emergency,lifeguard_base
emergency,lifeguard_platform
emergency,lifeguard_tower
emergency,phone
emergency,siren
emergency,suction_point
emergency,water_tank
end_date,
entrance,
est_width,
fee,
fire_object:type,
fire_operator,
fire_rank,
foot,crossing
foot,sidewalk
footway,crossing
footway,sidewalk
ford,
forestry,
forward,
frequency,
fuel,charcoal&action=edit&redlink=1
fuel,electric&action=edit&redlink=1
fuel,wood&action=edit&redlink=1
gauge,
golf_cart,
goods,
hazmat,
healthcare,alternative
healthcare,audiologist
healthcare,birthing_center
healthcare,blood_bank
healthcare,blood_donation
healthcare,counselling
healthcare,dialysis
healthcare,herbalism&action=edit&redlink=1
healthcare,hospice
healthcare,laboratory
healthcare,midwife
healthcare,nurse
healthcare,nutrition_counselling
healthcare,occupational_therapist
healthcare,optometrist
healthcare,physiotherapist
healthcare,podiatrist
healthcare,psychotherapist
healthcare,rehabilitation
healthcare,sample_collection
healthcare,speech_therapist
healthcare,vaccination_centre
healthcare,yes
healthcare:counselling,
healthcare:speciality,herbalism&action=edit&redlink=1
height,
hgv,
highway,bridleway
highway,bus_guideway
highway,bus_stop
highway,busway
highway,construction
highway,corridor
highway,crossing
highway,cycleway
highway,elevator
highway,emergency_access_point
highway,emergency_bay
highway,escape
highway,footway
highway,give_way
highway,living_street
highway,milestone
highway,mini_roundabout
highway,motorway
highway,motorway_junction
highway,motorway_link
highway,passing_place
highway,path
highway,pedestrian
highway,platform
highway,primary
highway,primary_link
highway,proposed
highway,raceway
highway,residential
highway,rest_area
highway,road
highway,secondary
highway,secondary_link
highway,service
highway,services
highway,speed_camera
highway,steps
highway,stop
highway,street_lamp
highway,tertiary
highway,tertiary_link
highway,toll_gantry
highway,track
highway,traffic_mirror
highway,traffic_signals
highway,trailhead
highway,trunk
highway,trunk_link
highway,turning_circle
highway,turning_loop
highway,unclassified
historic,aircraft
historic,aqueduct
historic,archaeological_site
historic,battlefield
historic,bomb_crater
historic,boundary_stone
historic,building
historic,cannon
historic,castle
historic,castle_wall
historic,charcoal_pile
historic,church
historic,city_gate
historic,citywalls
historic,farm
historic,fort
historic,gallows
historic,highwater_mark
historic,locomotive
historic,manor
historic,memorial
historic,milestone
historic,monastery
historic,monument
historic,optical_telegraph
historic,pillory
historic,railway_car
historic,ruins
historic,rune_stone
historic,ship
historic,tank
historic,tomb
historic,tower
historic,wayside_cross
historic,wayside_shrine
historic,wreck
historic,yes
horse,
ice_road,
incline,
industrial,depot
industrial,port
inline_skates,
inscription,
internet_access,
junction,roundabout
kerb,
landuse,allotments
landuse,basin
landuse,brownfield
landuse,cemetery
landuse,commercial
landuse,conservation
landuse,construction
landuse,depot
landuse,education
landuse,farmland
landuse,farmyard
landuse,flowerbed
landuse,forest
landuse,garages
landuse,grass
landuse,greenfield
landuse,greenhouse_horticulture
landuse,industrial
landuse,landfill
landuse,meadow
landuse,military
landuse,orchard
landuse,plant_nursery
landuse,port
landuse,quarry
landuse,railway
landuse,recreation_ground
landuse,religious
landuse,reservoir
landuse,residential
landuse,retail
landuse,salt_pond
landuse,village_green
landuse,vineyard
landuse,winter_sports
lanes,
