,lat,lon,precio,sup_total,expensas,ambientes,fuente,precio_moneda,geometry,index_right,BARRIO
0,-34.61254,-58.371790000000004,63000.0,144.0,17500.0,4.0,argenprop,$,POINT (-58.37179 -34.61254),41,MONSERRAT
137,-34.61099,-58.37635,65000.0,210.0,8000.0,10.0,argenprop,$,POINT (-58.37635 -34.61099),41,MONSERRAT
308,-34.61715,-58.38012,42000.0,60.0,5700.0,3.0,argenprop,$,POINT (-58.38012 -34.61715),41,MONSERRAT
382,-34.61611,-58.39045,16800.0,18.5,3500.0,1.0,argenprop,$,POINT (-58.39045 -34.61611),41,MONSERRAT
679,-34.608990000000006,-58.37911999999999,33000.0,61.0,8000.0,3.0,argenprop,$,POINT (-58.37911999999999 -34.60899000000001),41,MONSERRAT
684,-34.61309,-58.38136,32000.0,50.0,6500.0,3.0,argenprop,$,POINT (-58.38136 -34.61309),41,MONSERRAT
701,-34.61422,-58.37984,38000.0,39.0,3890.0,1.0,argenprop,$,POINT (-58.37984 -34.61422),41,MONSERRAT
703,-34.60962,-58.37904,28000.0,45.0,9000.0,2.0,argenprop,$,POINT (-58.37904 -34.60962),41,MONSERRAT
822,-34.61111,-58.38456,37000.0,40.0,3700.0,3.0,argenprop,$,POINT (-58.38456 -34.61111),41,MONSERRAT
842,-34.61327,-58.385780000000004,20000.0,28.0,2400.0,1.0,argenprop,$,POINT (-58.38578 -34.61327),41,MONSERRAT
949,-34.6138,-58.389669999999995,27000.0,53.0,6500.0,1.0,argenprop,$,POINT (-58.38967 -34.6138),41,MONSERRAT
986,-34.61419,-58.37871,31000.0,37.0,4300.0,1.0,argenprop,$,POINT (-58.37871 -34.61419),41,MONSERRAT
1014,-34.61105,-58.37048000000001,22000.0,26.0,4500.0,1.0,argenprop,$,POINT (-58.37048000000001 -34.61105),41,MONSERRAT
1058,-34.6141,-58.391580000000005,22000.0,28.0,4300.0,1.0,argenprop,$,POINT (-58.39158 -34.6141),41,MONSERRAT
1133,-34.61217,-58.383359999999996,2500000.0,3409.0,0.0,1.0,argenprop,$,POINT (-58.38336 -34.61217),41,MONSERRAT
1147,-34.613409999999995,-58.3888,25500.0,25.0,4500.0,2.0,argenprop,$,POINT (-58.3888 -34.61340999999999),41,MONSERRAT
1157,-34.61162,-58.39068,2000000.0,2800.0,0.0,1.0,argenprop,$,POINT (-58.39068 -34.61162),41,MONSERRAT
1193,-34.60986,-58.37641,26000.0,40.0,6800.0,2.0,argenprop,$,POINT (-58.37641 -34.60986),41,MONSERRAT
187,-34.61541867142857,-58.390289497959174,29000.0,34.0,0.0,1.0,zonaprop,$,POINT (-58.39028949795917 -34.61541867142857),41,MONSERRAT
229,-34.61594051428572,-58.371280171428566,38000.0,38.0,5100.0,2.0,zonaprop,$,POINT (-58.37128017142857 -34.61594051428572),41,MONSERRAT
230,-34.6138227,-58.374617,23900.0,21.0,1.0,1.0,zonaprop,$,POINT (-58.374617 -34.6138227),41,MONSERRAT
488,-34.6111088,-58.390364600000005,26000.0,42.0,4400.0,2.0,zonaprop,$,POINT (-58.39036460000001 -34.6111088),41,MONSERRAT
626,-34.609429600000006,-58.3790955,28000.0,45.0,9000.0,2.0,zonaprop,$,POINT (-58.3790955 -34.60942960000001),41,MONSERRAT
719,-34.61004055714285,-58.3820398510204,83000.0,120.0,11000.0,4.0,zonaprop,$,POINT (-58.3820398510204 -34.61004055714285),41,MONSERRAT
852,-34.61561079999999,-58.387362100000004,40000.0,65.0,5400.0,3.0,zonaprop,$,POINT (-58.3873621 -34.61561079999999),41,MONSERRAT
856,-34.6156051,-58.3674914,65000.0,48.0,13120.0,1.0,zonaprop,$,POINT (-58.3674914 -34.6156051),41,MONSERRAT
966,-34.611389200000005,-58.39165920000001,40000.0,62.0,0.0,3.0,zonaprop,$,POINT (-58.39165920000001 -34.6113892),41,MONSERRAT
1022,-34.61116796530612,-58.37753078163265,45000.0,85.0,8500.0,3.0,zonaprop,$,POINT (-58.37753078163265 -34.61116796530612),41,MONSERRAT
1262,-34.6088253,-58.36985870000001,30000.0,45.0,6500.0,2.0,zonaprop,$,POINT (-58.36985870000001 -34.6088253),41,MONSERRAT
1302,-34.61789147142857,-58.38916926734694,49000.0,70.0,0.0,3.0,zonaprop,$,POINT (-58.38916926734694 -34.61789147142857),41,MONSERRAT
1321,-34.6155663,-58.384317599999996,70000.0,125.0,15000.0,6.0,zonaprop,$,POINT (-58.3843176 -34.6155663),41,MONSERRAT
1379,-34.612633128571424,-58.3907859,21000.0,35.0,7000.0,2.0,zonaprop,$,POINT (-58.3907859 -34.61263312857142),41,MONSERRAT
1414,-34.613358500000004,-58.38311379999999,60000.0,42.0,5300.0,2.0,zonaprop,$,POINT (-58.38311379999999 -34.6133585),41,MONSERRAT
1446,-34.613257742857144,-58.37318442448979,27000.0,51.0,4500.0,2.0,zonaprop,$,POINT (-58.37318442448979 -34.61325774285714),41,MONSERRAT
